 Time_0 HLR_Time_0 Iterations_0 HLR_Score_0 SORCT_Score_0 Homogeneity_0 Completeness_0 Time_1 HLR_Time_1 Iterations_1 HLR_Score_1 SORCT_Score_1 Homogeneity_1 Completeness_1 Time_2 HLR_Time_2 Iterations_2 HLR_Score_2 SORCT_Score_2 Homogeneity_2 Completeness_2 Time_3 HLR_Time_3 Iterations_3 HLR_Score_3 SORCT_Score_3 Homogeneity_3 Completeness_3 Time_4 HLR_Time_4 Iterations_4 HLR_Score_4 SORCT_Score_4 Homogeneity_4 Completeness_4
kmeans 3.1833834648132324 0.019646406173706055 137 0.7 0.6 0.6219873373468107 0.7951147345512252 10.610944509506226 0.01685643196105957 557 0.6666666666666666 0.7333333333333333 0.6069340632948348 0.6873390255439673 13.068163394927979 0.0210573673248291 513 0.5333333333333333 0.6 0.5998853460389547 0.7970812843713703 4.898512125015259 0.02188253402709961 195 0.6666666666666666 0.6333333333333333 0.5950179110896469 0.7652527821243799 5.138185024261475 0.02059793472290039 195 0.6 0.7666666666666667 0.6106199826379138 0.7719201762051917
Agglomerative_sigle 9.570568561553955 0.010463237762451172 363 0.7 0.6 0.6219873373468107 0.795114734551225 0.25000739097595215 0.01084589958190918 7 0.6666666666666666 0.3333333333333333 0.6069340632948346 0.7766437985959663 5.575982332229614 0.012746334075927734 212 0.5333333333333333 0.6 0.5998853460389545 0.7970812843713698 10.712591409683228 0.01023244857788086 414 0.6666666666666666 0.6333333333333333 0.6155514048190462 0.8072180692687656 4.114858627319336 0.009910106658935547 169 0.6 0.7666666666666667 0.6106199826379137 0.7719201762051917
birch 0.19865727424621582 0.011756181716918945 8 0.7 0.26666666666666666 0.0 1.0 3.072657823562622 0.010889053344726562 207 0.6666666666666666 0.7333333333333333 0.0 1.0 6.6896140575408936 0.01017451286315918 279 0.5333333333333333 0.6 2.5297458297306855e-16 1.0 3.468519687652588 0.011465072631835938 161 0.6666666666666666 0.6333333333333333 0.0 1.0 3.501084327697754 0.010366439819335938 159 0.6 0.7666666666666667 2.5297458297306855e-16 1.0
True_labels 3.9484477043151855 0.01341557502746582 149 0.7 0.6 1 1 2.2690553665161133 0.009635210037231445 118 0.6666666666666666 0.7333333333333333 1 1 4.235243320465088 0.015770673751831055 143 0.5333333333333333 0.6 1 1 7.907835006713867 0.014287710189819336 338 0.6666666666666666 0.6333333333333333 1 1 2.993482828140259 0.011938810348510742 127 0.6 0.7666666666666667 1 1
