 Time_0 HLR_Time_0 Iterations_0 HLR_Score_0 SORCT_Score_0 Homogeneity_0 Completeness_0 Time_1 HLR_Time_1 Iterations_1 HLR_Score_1 SORCT_Score_1 Homogeneity_1 Completeness_1 Time_2 HLR_Time_2 Iterations_2 HLR_Score_2 SORCT_Score_2 Homogeneity_2 Completeness_2 Time_3 HLR_Time_3 Iterations_3 HLR_Score_3 SORCT_Score_3 Homogeneity_3 Completeness_3 Time_4 HLR_Time_4 Iterations_4 HLR_Score_4 SORCT_Score_4 Homogeneity_4 Completeness_4
kmeans 6.025825262069702 0.02363872528076172 196 0.5 0.47619047619047616 0.24612800990851907 0.20335653015190117 11.467724561691284 0.023572444915771484 279 0.5476190476190477 0.5476190476190477 0.2279625038679068 0.19527833511994366 4.122674465179443 0.02078866958618164 154 0.5 0.5714285714285714 0.21883078388977062 0.18216038484009586 11.253665924072266 0.020580768585205078 248 0.5952380952380952 0.5 0.22865649126434515 0.19038047653585963 5.968570232391357 0.019428014755249023 142 0.5714285714285714 0.6190476190476191 0.19897282922522153 0.1660196382898636
Agglomerative_sigle 10.54630994796753 0.010673999786376953 245 0.5 0.5238095238095238 0.017881594532559147 0.17967682824112238 30.840796947479248 0.010804891586303711 587 0.5476190476190477 0.5476190476190477 0.035536308646701875 0.21090053430552463 20.68399214744568 0.014929056167602539 695 0.5 0.5238095238095238 0.02517063087571542 0.2013682565447657 7.745572566986084 0.01090240478515625 251 0.5952380952380952 0.5 0.01731564776101201 0.17388609105624078 -1 0.009419918060302734 -1 0.5714285714285714 -1 0.030195712696551035 0.2045074592977214
birch 10.387027263641357 0.012111425399780273 293 0.5 0.5238095238095238 5.059263090260888e-17 1.0 5.408558368682861 0.013324260711669922 152 0.5476190476190477 0.5476190476190477 2.5271506347765435e-16 1.0 17.06817054748535 0.018190383911132812 517 0.5 0.5714285714285714 0.0 1.0 6.753802537918091 0.009588241577148438 203 0.5952380952380952 0.5 5.06228966188604e-17 1.0 -1 0.008943319320678711 -1 0.5714285714285714 -1 0.0 1.0
True_labels 10.616323232650757 0.01793837547302246 291 0.5 0.5238095238095238 1 1 12.580768346786499 0.019673824310302734 270 0.5476190476190477 0.5476190476190477 1 1 8.3530433177948 0.013669490814208984 213 0.5 0.5714285714285714 1 1 10.221367120742798 0.010450601577758789 264 0.5952380952380952 0.5 1 1 8.29410696029663 0.011470317840576172 250 0.5714285714285714 0.6190476190476191 1 1
