 Time_0 HLR_Time_0 Iterations_0 HLR_Score_0 SORCT_Score_0 Homogeneity_0 Completeness_0 Time_1 HLR_Time_1 Iterations_1 HLR_Score_1 SORCT_Score_1 Homogeneity_1 Completeness_1 Time_2 HLR_Time_2 Iterations_2 HLR_Score_2 SORCT_Score_2 Homogeneity_2 Completeness_2 Time_3 HLR_Time_3 Iterations_3 HLR_Score_3 SORCT_Score_3 Homogeneity_3 Completeness_3 Time_4 HLR_Time_4 Iterations_4 HLR_Score_4 SORCT_Score_4 Homogeneity_4 Completeness_4
kmeans 189.21898078918457 0.1255486011505127 468 0.7298013245033113 0.5475869430866903 0.03069147399034242 0.008955271862366571 354.2936050891876 0.12294411659240723 681 0.7241379310344828 0.5714285714285715 0.031614257349726255 0.009122142409827208 350.60165762901306 0.10439753532409668 575 0.7175066312997348 0.5726434589095534 0.02555678719485256 0.007471598773327009 590.2083020210266 0.08030033111572266 421 0.6962864721485411 0.5833333333333334 0.026869996179201435 0.007658062145283234 1546.7766063213348 0.11698222160339355 3000 0.7228116710875332 0.5382248137350177 0.0275085451177091 0.0075926350997782485
Agglomerative_sigle 1677.5680658817291 0.09029173851013184 3000 0.7298013245033113 0.5289342097870667 0.0002471908601578493 0.008687959743547653 443.65600633621216 0.08544301986694336 671 0.7241379310344828 0.570480254690781 0.0002501177443785886 0.008923672031026298 420.42113876342773 0.0743551254272461 518 0.7175066312997348 0.5726434589095534 0.00024801683279894926 0.00876426231364257 288.1164662837982 0.10940957069396973 370 0.6962864721485411 0.5625 0.00024839841989803777 0.008843938547889164 550.7675895690918 0.08242154121398926 577 0.7228116710875332 0.5863297700032394 0.0002436615397712498 0.00824775657799333
birch 261.1138014793396 0.12197685241699219 568 0.7298013245033113 0.5475869430866903 0.011839583892416647 0.0034595152949355055 206.9557569026947 0.08724737167358398 563 0.7241379310344828 0.5714285714285715 0.017699378855365724 0.007674430223712356 642.1904718875885 0.10404849052429199 814 0.7175066312997348 0.5921157208710857 0.007778323054572421 0.002844219530564524 708.5392491817474 0.11872410774230957 1186 0.6962864721485411 0.5833333333333334 0.01714758225421892 0.008161116748567001 141.9869658946991 0.11238622665405273 356 0.7228116710875332 0.60051416716636 0.020916678751342503 0.006643674868069397
True_labels 598.7086532115936 0.12250947952270508 1043 0.773467610539918 0.5480644980055059 1 1 1965.9405360221863 0.12488532066345215 3000 0.7689697216013004 0.5396825396825397 1 1 2571.4307663440704 0.0732731819152832 1073 0.7438704799219821 0.5921157208710857 1 1 328.6157577037811 0.12415170669555664 659 0.5174726259783321 0.6041666666666666 1 1 193.1252281665802 0.11227607727050781 476 0.7663192936749169 0.5863297700032394 1 1
