 Time_0 HLR_Time_0 Iterations_0 HLR_Score_0 SORCT_Score_0 Homogeneity_0 Completeness_0 Time_1 HLR_Time_1 Iterations_1 HLR_Score_1 SORCT_Score_1 Homogeneity_1 Completeness_1 Time_2 HLR_Time_2 Iterations_2 HLR_Score_2 SORCT_Score_2 Homogeneity_2 Completeness_2 Time_3 HLR_Time_3 Iterations_3 HLR_Score_3 SORCT_Score_3 Homogeneity_3 Completeness_3 Time_4 HLR_Time_4 Iterations_4 HLR_Score_4 SORCT_Score_4 Homogeneity_4 Completeness_4
kmeans 103.26545810699463 0.04123425483703613 624 0.7138728323699421 0.5189090529828952 0.11622322181951579 0.06964379002615002 -1 0.04274606704711914 -1 0.7138728323699421 -1 0.1598663964997642 0.0966172824593886 -1 0.042188167572021484 -1 0.6589595375722543 -1 0.15566724896199885 0.09484006651864792 81.95189142227173 0.04342222213745117 608 0.7101449275362319 0.5330392156862744 0.15737851737162714 0.09378155007164297 236.67707347869873 0.04290962219238281 1447 0.7246376811594203 0.6009399551066218 0.0936028681034197 0.05678128176087849
Agglomerative_sigle 296.3421514034271 0.023306846618652344 892 0.7138728323699421 0.5903376244114668 0.15238971017245329 0.09131563220538856 86.80997562408447 0.018906593322753906 269 0.7138728323699421 0.6101485508912288 0.15986639649976422 0.09661728245938861 128.48917317390442 0.02508687973022461 586 0.6589595375722543 0.5508870214752568 0.1556672489619989 0.09484006651864793 108.73129296302795 0.027312517166137695 606 0.7101449275362319 0.5418487394957984 0.15737851737162714 0.09378155007164297 52.19864630699158 0.02036309242248535 405 0.7246376811594203 0.5237828015605793 0.15096040567018335 0.09137858703376636
birch 118.34809350967407 0.025304079055786133 759 0.7138728323699421 0.5903376244114668 0.10537974801384835 0.06741150954075834 25.08187699317932 0.01982569694519043 207 0.7138728323699421 0.6746534323417168 0.1377795085308381 0.08375880313439323 42.670809507369995 0.045171260833740234 271 0.6589595375722543 0.5528944911297853 0.1590131520404222 0.10831377739703095 88.96827840805054 0.02786397933959961 669 0.7101449275362319 0.4783333333333334 0.1515629348249023 0.1014900755510331 240.0431683063507 0.018673181533813477 1281 0.7246376811594203 0.5965040617818396 0.1434882439239066 0.09205972500096532
True_labels 47.35319256782532 0.06318902969360352 239 0.7801507837177425 0.449822695035461 1 1 474.71605014801025 0.026726722717285156 3000 0.8214707189602587 0.47691713795270285 1 1 67.34673142433167 0.022164344787597656 274 0.5733426704014939 0.5528944911297853 1 1 96.67629551887512 0.06509828567504883 549 0.8112184873949579 0.5418487394957984 1 1 85.6457929611206 0.02865433692932129 609 0.7497536542675431 0.5237828015605793 1 1
