 Time_0 HLR_Time_0 Iterations_0 HLR_Score_0 SORCT_Score_0 Homogeneity_0 Completeness_0 Time_1 HLR_Time_1 Iterations_1 HLR_Score_1 SORCT_Score_1 Homogeneity_1 Completeness_1 Time_2 HLR_Time_2 Iterations_2 HLR_Score_2 SORCT_Score_2 Homogeneity_2 Completeness_2 Time_3 HLR_Time_3 Iterations_3 HLR_Score_3 SORCT_Score_3 Homogeneity_3 Completeness_3 Time_4 HLR_Time_4 Iterations_4 HLR_Score_4 SORCT_Score_4 Homogeneity_4 Completeness_4
kmeans 349.5468943119049 0.08598709106445312 285 0.8996865203761756 0.8307210031347962 0.3588798958251548 0.26619462210406847 293.4895975589752 0.05388689041137695 218 0.8934169278996865 0.8652037617554859 0.36513389479909536 0.2721908612616342 273.5359797477722 0.06721186637878418 199 0.890282131661442 0.8746081504702194 0.30582047550565616 0.22861952844703826 505.69867873191833 0.07923054695129395 343 0.8996865203761756 0.8244514106583072 0.28991840335201147 0.21681931146334268 296.81601905822754 0.08331084251403809 280 0.8962264150943396 0.8867924528301887 0.27805446164913555 0.20780659828886247
Agglomerative_sigle 271.2965965270996 0.08664894104003906 243 0.8996865203761756 0.8369905956112853 0.0014907521437244925 0.07945062346326313 225.91194915771484 0.0707237720489502 206 0.8934169278996865 0.8495297805642633 0.0014935658802274867 0.07963486788182161 259.01264357566833 0.06353354454040527 188 0.890282131661442 0.8840125391849529 0.0015113128905188413 0.08093238349952879 456.3966546058655 0.07725024223327637 282 0.8996865203761756 0.8150470219435737 0.001485659944786676 0.07908296248779428 496.39357352256775 0.06520557403564453 315 0.8962264150943396 0.8647798742138365 0.0014833584913099534 0.07898825247049893
birch 477.3908348083496 0.08808708190917969 261 0.8996865203761756 0.8557993730407524 0.2273452496157268 0.17019955039196372 171.9482388496399 0.07894039154052734 181 0.8934169278996865 0.8526645768025078 0.2198303230578824 0.16852824188982424 379.7607684135437 0.06907200813293457 232 0.890282131661442 0.877742946708464 0.1854112783510783 0.1425131099551726 395.03907918930054 0.06256866455078125 301 0.8996865203761756 0.8275862068965517 0.24796144327854214 0.1862674051057273 197.69944548606873 0.06496357917785645 206 0.8962264150943396 0.8710691823899371 0.18704224257912108 0.13963695939232726
True_labels 445.6709749698639 0.08713650703430176 248 0.8996865203761756 0.8338557993730408 1 1 243.59627079963684 0.07808089256286621 303 0.8934169278996865 0.8463949843260188 1 1 342.2093880176544 0.06394243240356445 296 0.890282131661442 0.8401253918495298 1 1 263.53781247138977 0.07587075233459473 229 0.8996865203761756 0.8150470219435737 1 1 390.3899812698364 0.07262706756591797 265 0.8962264150943396 0.8742138364779874 1 1
